origin,destination,demand_pax_week,yield_cents_per_km,yield_eur_per_km,yield_source,distance_km,price_eur,travel_time_min,direct_utility,alternative_utility,utility_gap_direct_minus_alt,direct_share_bound
ACE,BIO,191.39828571428572,15.789444444444445,0.15789444444444445,via_mad,1859.3562286349998,293.5820187446407,189.45171714762498,-9.660674717845314,-13.34563352924711,3.6849588114017955,0.768534062630155
ACE,MAD,541.9734285714287,6.806666666666667,0.06806666666666666,directo,1574.081641379102,107.14249038987087,168.05612310343264,-5.50397226986607,-8.904620333357615,3.400648063491545,0.7141735953417924
AGP,AMS,424.23957142857137,10.307777777777778,0.10307777777777778,via_mad,1883.6572076534749,194.1631990600143,191.27429057401062,-7.708749792680498,-8.766093927341434,1.0573441346609354,0.19347875673993867
AGP,BCN,912.1758571428572,14.420555555555556,0.14420555555555556,via_mad,765.9683094439475,110.45688560131414,107.44762320829606,-4.358090176192205,-5.705795595600987,1.3477054194087827,0.24283458898572177
AGP,BIO,219.67557142857143,19.17888888888889,0.1917888888888889,via_mad,749.0717635747908,143.6636412340496,106.1803822681093,-4.996880470043179,-6.5149477150720205,1.518067245028842,0.27551092391089055
AGP,BRU,257.68557142857145,11.458333333333332,0.11458333333333331,via_mad,1735.4787809078318,198.85694364568903,180.1609085680874,-7.580357044275528,-9.795003025931148,2.21464598165562,0.4328431025076
AGP,CPH,307.17657142857144,9.498333333333333,0.09498333333333334,via_mad,2471.3482851621607,234.73689795231923,235.35112138716207,-9.401760386789626,-13.961222436190834,4.559462049401208,0.8884053891884547
AGP,DUS,268.92528571428574,10.327777777777778,0.10327777777777777,via_mad,1853.4609014227603,191.42132309693952,189.00956760670704,-7.608617814072931,-9.527766514082575,1.9191487000096448,0.3622162308506852
AGP,FCO,153.9041428571429,10.366666666666667,0.10366666666666667,via_mad,1546.8499981834398,160.3567831450166,166.013749863758,-6.527410660175492,-8.959794054233008,2.432383394057516,0.4868722038912322
AGP,FRA,260.63971428571426,10.473333333333333,0.10473333333333333,via_mad,1817.1668998590326,190.31794664523602,186.28751748942744,-7.53210928269327,-9.372412166011728,1.8403028833184578,0.3442065944368168
AGP,HEL,286.0255714285714,9.817777777777778,0.09817777777777778,via_mad,3352.6377054946815,329.15451961945564,301.44782791210116,-12.612046950631136,-18.26140017581835,5.6493532251872125,0.9594741983531002
AGP,LHR,193.90785714285713,12.485555555555555,0.12485555555555555,via_mad,1676.6129590529367,209.33444245419832,175.74597192897025,-7.7016082876633725,-8.913044403934167,1.2114361162707947,0.21866373285818202
AGP,MAD,454.5361428571428,13.585555555555555,0.13585555555555553,directo,429.9765529730858,58.41470348002132,82.24824147298143,-2.813258899060055,-4.459675909536713,1.6464170104766582,0.3018529787349734
AGP,MLN,227.18871428571427,9.793912783751495,0.09793912783751495,media_global,208.16838288413888,20.387829863018435,65.61262871631041,-1.720009171586577,-3.02621986291836,1.306210691331783,0.2352867473811006
AGP,MUC,147.2144285714286,10.282777777777778,0.10282777777777778,via_mad,1854.2940375540825,190.67293522826952,189.07205281655618,-7.5948997608965145,-9.78696856425813,2.1920688033616154,0.42730925766209155
AGP,MXP,142.93371428571427,11.330555555555556,0.11330555555555556,via_mad,1485.7728605235832,168.34631939099157,161.43296453926874,-6.595585678605206,-8.741266938253023,2.1456812596478176,0.4159976513229992
