iata,name,lat,lon
MAD,Madrid,40.4719,-3.5626
BCN,Barcelona,41.2971,2.0785
AGP,Malaga,36.6749,-4.4991
AMS,Amsterdam,52.3086,4.7639
BIO,Bilbao,43.301,-2.9106
BRU,Brussels,50.9014,4.4844
EZE,Buenos Aires,-34.8222,-58.5358
FCO,Rome,41.8003,12.2389
FRA,Frankfurt,50.0333,8.5706
GRU,Sao Paulo,-23.4356,-46.4731
IBZ,Ibiza,38.8729,1.3731
JFK,New York JFK,40.6413,-73.7781
LHR,London Heathrow,51.4775,-0.4614
LIM,Lima,-12.0219,-77.1143
LIS,Lisbon,38.7813,-9.1359
LPA,Las Palmas,27.9319,-15.3866
MAH,Menorca,39.8626,4.2186
MEX,Mexico City,19.4363,-99.0721
MUC,Munich,48.3537,11.775
MXP,Milan Malpensa,45.6306,8.7281
ORY,Paris Orly,48.7233,2.3794
PMI,Palma de Mallorca,39.5517,2.7388
SVQ,Seville,37.418,-5.8931
TFN,Tenerife Norte,28.4827,-16.3415
VLC,Valencia,39.4893,-0.4816
