origin,destination,type,f_iberia,demand_pax_week,pax_served_week,price_eur,op_cost_per_pax,margin_per_pax,total_revenue_week,total_op_cost_week,total_margin_week
EZE,MAD,transatlantic,0.3219549150123206,550.6405714285714,177.28143837662137,505.2736070907173,76.87501109008518,428.3985960006321,89575.6318387862,13628.51254126902,75947.11929751717
JFK,MAD,transatlantic,0.3780400906593779,711.3587142857143,268.9221128399099,320.9464165346327,116.0626137542991,204.8838027803336,86309.58844289122,31211.8033125285,55097.785130362725
MAD,JFK,transatlantic,0.3823573907989442,703.3265714285715,268.9221127309958,320.8183708867035,117.38806849424951,203.430302392454,86275.15410176851,31568.247388884425,54706.90671288408
BCN,MAD,regional,0.2266250333397144,3596.4700000000003,815.0501336552827,74.33915639906051,16.624800508904006,57.71435589015651,60590.13935887524,13550.045876774622,47040.093482100616
MAD,BCN,regional,0.2267156375871443,3595.032714285714,815.0501339659277,73.67378499776966,16.631447800350486,57.04233719741917,60047.828332209116,13555.463757722997,46492.36457448611
MEX,MAD,transatlantic,0.2245247745793672,441.60585714285713,99.15145552792823,448.0052409163106,43.59284885688894,404.4123920594216,44420.37172099234,4322.294414769521,40098.07730622282
MAD,LHR,regional,0.2897512392544903,1132.747714285714,328.21505397697695,141.94489605840718,35.28115015264454,106.66374590576264,46588.4517215665,11579.804601720058,35008.647119846435
LHR,MAD,regional,0.2886731453277682,1136.9781428571428,328.215056667496,137.0827258118471,35.14988297629483,101.93284283555226,44992.614620470216,11536.720832920462,33455.89378754975
GRU,MAD,transatlantic,0.5924054268102972,209.78914285714288,124.28022671445213,442.80227412916776,224.92341701968212,217.87885710948564,55031.567018447946,27953.533260595355,27078.033757852594
MAD,GRU,transatlantic,0.5498577974780785,208.9757142857143,114.90692598355109,460.7675545384444,225.79892740958007,234.96862712886434,52945.38328497087,25945.860639017843,26999.52264595303
BIO,MAD,regional,0.2601532948958636,849.1658571428571,220.91329564878447,79.29015147185783,16.823675180059066,62.466476291798756,17516.24867413943,3716.5735289515055,13799.675145187924
MAD,BIO,regional,0.2601013112507515,849.3355714285715,220.91329582047774,79.06672900371547,16.820313666900763,62.24641533681471,17466.891693955342,3715.830928889273,13751.06076506607
MAD,VLC,regional,0.2455795173700749,773.2588571428571,189.89653693927855,72.54035604379727,15.12481895444492,57.415537089352355,13775.162401059368,2872.1507412826504,10903.011659776717
VLC,MAD,regional,0.2467406499618869,769.62,189.8965390236674,69.46966420185969,15.196331508133504,54.27333269372618,13192.048799069518,2885.7307592508605,10306.318039818658
SVQ,MAD,regional,0.2549020536201195,181.70557142857143,46.31712331136016,67.17648830276391,7.618084191273521,59.55840411149039,3111.42169234326,352.8477448835391,2758.5739474597203
