iata,name,lat,lon
AGP,Malaga,36.6749,-4.4991
ALC,Alicante,38.2822,-0.5582
AMS,Amsterdam,52.3086,4.7639
BCN,Barcelona,41.2971,2.0785
BIO,Bilbao,43.301,-2.9106
BRU,Brussels,50.9014,4.4844
DUS,Dusseldorf,51.2895,6.7668
FCO,Rome,41.8003,12.2389
FRA,Frankfurt,50.0333,8.5706
IBZ,Ibiza,38.8729,1.3731
JFK,New York JFK,40.6413,-73.7781
LGW,London Gatwick,51.1481,-0.1903
LHR,London Heathrow,51.4775,-0.4614
LIS,Lisbon,38.7813,-9.1359
LPA,Las Palmas,27.9319,-15.3866
MAD,Madrid,40.4719,-3.5626
MAH,Menorca,39.8626,4.2186
MUC,Munich,48.3537,11.775
MXP,Milan Malpensa,45.6306,8.7281
ORD,Chicago,41.9742,-87.9073
ORY,Paris Orly,48.7233,2.3794
PMI,Palma de Mallorca,39.5517,2.7388
SVQ,Seville,37.418,-5.8931
TFN,Tenerife Norte,28.4827,-16.3415
VLC,Valencia,39.4893,-0.4816
