origin,destination,yield_source,price_source,demand_pax_week,price_eur,direct_op_cost_per_pax_eur,direct_margin_per_pax_eur,direct_share_bound,market_potential_pax_week,market_potential_revenue_week,market_potential_margin_week
JFK,MAD,directo,yield_times_distance,711.3587142857143,320.9464165346327,291.8922873897311,29.05412914490165,0.4015467340274991,285.6437684434295,91676.34388736708,8299.130937791782
MAD,JFK,directo,yield_times_distance,703.3265714285715,320.8183708867035,291.8922873897311,28.92608349697247,0.4021622940859996,282.851427457355,90743.93415984722,8181.784007869301
MAD,LHR,directo,yield_times_distance,1132.747714285714,141.9448960584072,118.8044533975541,23.14044266085304,0.2969683161286114,336.3901813099619,47748.86932111128,7784.21770227713
LHR,MAD,directo,yield_times_distance,1136.978142857143,137.0827258118471,118.8044533975541,18.27827241429296,0.3176628908219448,361.175763661366,49510.95817987553,6601.66899764274
MAD,GRU,directo,yield_times_distance,208.9757142857143,460.7675545384444,410.6492400991392,50.11831443930521,0.5498583835977895,114.9070484683364,52945.43972198585,5758.947586428565
GRU,MAD,directo,yield_times_distance,209.7891428571429,442.8022741291678,410.6492400991392,32.15303403002855,0.6363146568370105,133.4919064452734,59110.51975180518,4292.169810668264
BIO,MAD,directo,yield_times_distance,849.1658571428571,79.29015147185783,61.21238824169767,18.07776323016015,0.2748410283621676,233.3856174271843,18505.18095715451,4219.089933173377
MAD,BIO,directo,yield_times_distance,849.3355714285715,79.06672900371547,61.21238824169767,17.85434076201779,0.2757325011180575,234.1894213985346,18516.59151725486,4181.297732509218
BCN,PMI,via_mad,via_mad_avg_radial_price,1972.45,66.60889770423279,53.93469670593853,12.67420099829425,0.1617504767180206,319.0447278024598,21251.21763726884,4043.637007614454
PMI,BCN,via_mad,via_mad_avg_radial_price,1972.054571428571,66.60889770423279,53.93469670593853,12.67420099829425,0.1617504767180206,318.9807670425233,21246.95728155314,4042.826356087015
EZE,MAD,directo,yield_times_distance,550.6405714285714,505.2736070907173,488.1867916791679,17.08681541154937,0.3655035644395177,201.2610915821557,101691.917710731,3438.911121391227
MAD,VLC,directo,yield_times_distance,773.2588571428571,72.54035604379727,59.04839778407596,13.49195825972132,0.2561427542597542,198.0646534243212,14367.68047909157,2672.280036727111
BCN,MAD,directo,yield_times_distance,3596.47,74.33915639906051,71.38023832157992,2.95891807748059,0.2428096784224784,873.2577241560908,64917.24253272728,2583.898066305015
BCN,MAH,via_mad,via_mad_avg_radial_price,981.8344285714287,69.57228582203227,56.36108343287785,13.21120238915442,0.1809825407686725,177.6948894970148,12362.63964120076,2347.563148663493
