origin,destination,type,f_iberia,demand_pax_week,pax_served_week,price_eur,op_cost_per_pax,margin_per_pax,total_revenue_week,total_op_cost_week,total_margin_week
JFK,MAD,transatlantic,0.3743455794784955,711.3587142857143,266.29399011636326,320.9464165346327,116.0626108350496,204.8838056995831,85466.1018725557,30906.77574258801,54559.326129967674
MAD,JFK,transatlantic,0.3786206874885679,703.3265714285715,266.2939900032631,320.8183708867035,117.38807116732494,203.43029971937858,85432.00404976698,31259.737849933965,54172.266199833015
BCN,MAD,regional,0.2277791486261761,3596.4700000000003,819.2008746595836,74.33915639906051,16.67781373514176,57.66134266391875,60898.70194356595,13662.479599237748,47236.222344328206
MAD,BCN,regional,0.2278702143615848,3595.032714285714,819.2008752411957,73.67378499776966,16.684481486818033,56.98930351095163,60353.62915250458,13667.941836946859,46685.68731555772
MAD,LHR,regional,0.2810335617591727,1132.747714285714,318.3401247202759,141.94489605840718,35.28115843928179,106.66373761912538,45186.75591463994,11231.40837783678,33955.347536803165
LHR,MAD,regional,0.2799879023954504,1136.9781428571428,318.3401252880462,137.0827258118471,35.14988554546134,101.93284026638577,43638.932109770285,11189.618968402645,32449.313141367646
MAD,GRU,transatlantic,0.5448158188395272,208.9757142857143,113.85327489614653,460.7675545384444,225.79892703277736,234.96862750566706,52459.8950500907,25707.947310717733,26751.94773937297
GRU,MAD,transatlantic,0.5427033754769868,209.78914285714288,113.85327596699523,442.80227412916776,224.9234227340967,217.87885139507105,50414.48951524121,25608.26851998624,24806.220995254967
BCN,PMI,regional,0.1515486173929171,1972.4500000000003,298.9220703766594,66.60889770423279,8.722213952299523,57.88668375193326,19910.86960725638,2607.2622528895586,17303.60735436682
PMI,BCN,regional,0.1515790052822838,1972.0545714285713,298.92207029952334,66.60889770423279,8.723962889643959,57.88493481458883,19910.869602118433,2607.7850481885844,17303.08455392985
BIO,MAD,regional,0.2610422024259786,849.1658571428571,221.66812557351534,79.29015147185783,16.823675703535717,62.46647576832211,17576.099253206834,3729.2726584594543,13846.82659474738
MAD,BIO,regional,0.2609900418871502,849.3355714285715,221.66812636338952,79.06672900371547,16.82031401659802,62.24641498711745,17526.573675935473,3728.5274929031416,13798.046183032333
BCN,MXP,regional,0.1998416023288822,852.9751428571428,170.45991929527864,87.92928990629579,17.488106042431895,70.4411838638639,14988.41966111834,2981.0211446202156,12007.398516498124
MXP,BCN,regional,0.2024968608112276,841.7904285714285,170.4599192466522,87.92928990629579,17.72046728430312,70.20882262199268,14988.41965684265,3020.6294222952515,11967.7902345474
BIO,BCN,regional,0.2385668214901554,794.2462857142857,189.48081186321897,76.59245546810087,17.77338353280209,58.81907193529878,14512.800644693198,3367.7151413517067,11145.085503341492
BCN,BIO,regional,0.2385903384510806,794.168,189.4808119070178,76.59245546810087,17.77513555487034,58.81731991323053,14512.800648047856,3368.047116694131,11144.753531353726
MAD,VLC,regional,0.2467404941573542,773.2588571428571,190.7942725229795,72.54035604379727,15.124819198771249,57.415536845026026,13840.28445993422,2885.728876071154,10954.555583863066
BCN,IBZ,regional,0.1742227873268092,1092.0445714285713,190.25904911939648,66.84935413904972,10.915164860824095,55.93418927822563,12718.694552741392,2076.708887401842,10641.98566533955
IBZ,BCN,regional,0.1742406119703955,1091.9328571428573,190.2590492591539,66.84935413904972,10.916281580958483,55.93307255809124,12718.694562084085,2076.9213550383743,10641.77320704571
VLC,MAD,regional,0.2479071133416007,769.62,190.79427256996274,69.46966420185969,15.196331198941332,54.273333002918356,13254.4140470734,2899.372956834241,10355.04109023916
BCN,MAH,regional,0.1693037306902519,981.8344285714287,166.22823167727452,69.57228582203227,10.140827685454388,59.43145813657788,11564.878045942341,1685.6918538970317,9879.18619204531
MAH,BCN,regional,0.1702978391186518,976.1029999999998,166.22823165723335,69.57228582203227,10.200372045535065,59.37191377649721,11564.878044548032,1695.58980737517,9869.288237172863
VLC,PMI,regional,0.1495730159795884,653.5624285714285,97.75530357237288,65.10816741643949,9.356987190487352,55.75118022595213,6364.668670834919,914.6951233288955,5449.973547506022
PMI,VLC,regional,0.1514198671081003,645.591,97.75530342618558,65.10816741643949,9.47252249900101,55.635644917438476,6364.668661316931,925.9893111012135,5438.679350215718
LHR,BIO,regional,0.4415064844889454,183.57471428571426,81.04942674534828,109.34612558645689,45.409276363470404,63.93684922298649,8862.440795607192,3680.39581818037,5182.044977426822
BIO,LHR,regional,0.4479275936826468,180.94314285714285,81.0494265733754,109.3461255864569,46.06969241312846,63.27643317332845,8862.440776802625,3733.922152495845,5128.518624306779
PMI,IBZ,regional,0.1944414857613727,437.20985714285706,85.01173421237463,59.451781144867425,10.367968420881393,49.08381272398603,5054.099017139735,881.3989757182626,4172.700041421473
IBZ,PMI,regional,0.19463602813505,436.77285714285716,85.01173411148332,59.451781144867425,10.378341766557943,49.07343937830948,5054.099011141567,882.280830776726,4171.818180364841
