origin,destination,type,f_iberia,demand_pax_week,pax_served_week,price_eur,op_cost_per_pax,margin_per_pax,total_revenue_week,total_op_cost_week,total_margin_week
MAD,LHR,regional,0.2888231665297422,1132.747714285714,327.16378171932763,141.94489605840718,35.281158464713066,106.66373759369412,46439.228990225376,11542.717226754394,34896.51176347098
LHR,MAD,regional,0.2877485255313803,1136.9781428571428,327.1637841685499,137.0827258118471,35.14988554939399,101.93284026245311,44848.50332074365,11499.769569431168,33348.73375131249
LHR,BCN,regional,0.2164656692651563,1021.1625714285716,221.04663945281374,106.76014081677111,25.264797787659887,81.49534302911123,23598.970355056426,5584.698647417101,18014.271707639327
BCN,LHR,regional,0.2332429089525402,947.7099999999999,221.04663724341188,106.7601408167711,27.222954174751433,79.53718664201966,23598.970119180372,6017.542476160305,17581.427643020066
SVQ,BCN,regional,0.2354594979164376,1245.0295714285714,293.1540377796889,70.1823750378,22.89201316712232,47.29036187067768,20574.246623299518,6710.886092847713,13863.360530451804
BCN,SVQ,regional,0.2355064359870453,1244.7814285714285,293.1540378257199,70.1823750378,22.8965766259317,47.2857984118683,20574.246626530083,6712.223890277876,13862.022736252206
BIO,MAD,regional,0.2593705669643542,849.1658571428571,220.24862981391465,79.29015147185783,16.823675718524242,62.46647575333358,17463.547219414435,3705.39152543859,13758.155693975843
MAD,BIO,regional,0.2593187395652535,849.3355714285715,220.24862985079147,79.06672900371547,16.820314013098873,62.24641499061659,17414.338729852167,3704.6511150450947,13709.687614807071
MAD,VLC,regional,0.2447698297676472,773.2588571428571,189.27043882918255,72.54035604379727,15.124819213513687,57.415536830283585,13729.745021234656,2862.6811697537873,10867.063851480867
VLC,MAD,regional,0.2459271337388783,769.62,189.27044066811553,69.46966420185969,15.196331201914067,54.27333299994562,13148.553956551992,2876.2163031249092,10272.337653427085
BCN,AGP,regional,0.2157543929966609,912.36,196.84567799443354,65.87377212272263,20.406996253189355,45.46677586953327,12966.967335548152,4017.0290132889236,8949.938322259228
AGP,BCN,regional,0.215797947737767,912.1758571428572,196.84567794736714,65.87377212272263,20.411115846933257,45.46265627578937,12966.96733244771,4017.8399365518258,8949.127395895885
BCN,LIS,regional,0.1575850125924927,595.4348571428571,93.83160946086623,71.22830686957435,17.402588665527986,53.82571820404637,6683.4666727446365,1632.9129032719193,5050.553769472717
LIS,BCN,regional,0.1577742414522728,594.7207142857143,93.83160957238243,71.22830686957435,17.423485755849885,53.80482111372447,6683.466680687747,1634.873712832873,5048.592967854874
VLC,SVQ,regional,0.2471063036970977,326.3324285714286,80.63880020078288,68.6816447500067,19.524975102738846,49.15666964726785,5538.405428456938,1574.470566235018,3963.9348622219204
SVQ,VLC,regional,0.2473532968007839,326.0065714285714,80.63880022157738,68.6816447500067,19.544491130081777,49.137153619924916,5538.405429885139,1576.0443156710555,3962.3611142140835
BIO,SVQ,regional,0.268297316077833,274.6717142857143,73.69368374535453,72.76835980748578,24.086336993407578,48.6820228140782,5362.568494321025,1775.0109009762116,3587.5575933448135
SVQ,BIO,regional,0.2683777162618473,274.5894285714286,73.69368374964564,72.76835980748578,24.093554891034188,48.67480491645159,5362.568494633282,1775.5428145446015,3587.0256800886805
LHR,AGP,regional,0.1800168313561089,258.0792857142857,46.45861525293361,98.62744224107865,22.504812378522143,76.12262986255651,4582.094392459206,1045.542419633218,3536.5519728259874
BRU,AGP,regional,0.4302317146437259,258.1577142857143,111.06763606564795,89.92224813506965,64.90132601921533,25.02092211585432,9987.451530070806,7208.436858480176,2779.0146715906294
AGP,BRU,regional,0.4310200039386146,257.68557142857145,111.06763601206703,89.92224813506965,65.02024109168485,24.9020070433848,9987.451525252689,7221.644470988097,2765.8070542645924
AGP,LHR,regional,0.2058616808502788,193.90785714285713,39.91819740150431,98.62744224107865,29.952504307979577,68.67493793309907,3937.029708584842,1195.6499796353369,2741.379728949505
BIO,AGP,regional,0.2899916909809449,219.67614285714285,63.70425613531447,68.45975689240841,26.76351539167948,41.69624150072893,4361.177888035346,1704.9498395929809,2656.228048442365
AGP,BIO,regional,0.289992445564151,219.67557142857143,63.704256189273764,68.45975689240841,26.763585017555965,41.69617187485244,4361.177891729386,1704.954276501794,2656.223615227591
