lam,budget,mu_al=0e+00|mu_b=0e+00,mu_al=1e-08|mu_b=1e-03,mu_al=1e-07|mu_b=5e-03,mu_al=1e-07|mu_b=1e-01
4.0,100000.0,-32195.13189957678,,,
4.0,150000.0,-49226.480358387635,,,
4.0,200000.0,-54709.27719450282,,,
4.0,300000.0,-54686.48557603941,,,
4.0,500000.0,-492933.17536932975,,,
4.0,1000000.0,-249993.9515357404,,,
4.0,10000000.0,-405224.55800451105,,,-300618.8231754771
4.0,100000000.0,-405223.89354514424,,,-300618.8231754771
10.0,100000.0,-9995.190979300198,-10108.846988631354,-39263.06208210962,
10.0,150000.0,-22309.195818870387,-22320.82316154428,-34893.839815205196,
10.0,200000.0,64332.60842971504,19703.69763243862,-61854.350859797385,
10.0,300000.0,55413.640859147534,24164.359433269245,-56864.815286828554,
10.0,500000.0,52554.53801261622,21855.70400445792,-59448.592386546195,
10.0,1000000.0,52553.541401874274,21167.17004076147,-60991.326850843034,
10.0,5000000.0,52553.1546637679,21882.070041577448,-59427.53572634177,
