file,budget,lam,alfa,mu_alfa,mu_beta,is_longrun,obj_val,pax_obj,op_obj,used_budget,comp_time,combo,series,objective_gain,rank_in_budget_lam,gap_vs_best_pct,best_regular_obj_val,best_regular_series,best_regular_combo,delta_vs_best_regular,improvement_vs_best_regular_pct,baseline_mu0_obj_val,baseline_mu0_series,delta_vs_mu0,improvement_vs_mu0_pct
bud=1.00e+05_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,100000.0,4.0,0.1,0.0,0.0,False,-32195.13189957678,243828.06755383537,211632.9356542586,100381.56607320736,5450.19064979814,single level,single level,32195.13189957678,1,0.0,-32195.13189957678,single level,single level,0.0,0.0,-32195.13189957678,single level,0.0,0.0
bud=1.50e+05_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,150000.0,4.0,0.1,0.0,0.0,False,-49226.480358387635,410103.27597716765,360876.79561878,148617.97652830885,5429.30830867216,single level,single level,49226.480358387635,1,0.0,-49226.480358387635,single level,single level,0.0,0.0,-49226.480358387635,single level,0.0,0.0
bud=2.00e+05_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,200000.0,4.0,0.1,0.0,0.0,False,-54709.27719450282,441295.3418863012,386586.06469179835,174726.2936586597,5443.208053106442,single level,single level,54709.27719450282,1,0.0,-54709.27719450282,single level,single level,0.0,0.0,-54709.27719450282,single level,0.0,0.0
bud=3.00e+05_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,300000.0,4.0,0.1,0.0,0.0,False,-54686.48557603941,441294.1201883664,386607.634612327,174725.84911761933,5445.931684490293,single level,single level,54686.48557603941,1,0.0,-54686.48557603941,single level,single level,0.0,0.0,-54686.48557603941,single level,0.0,0.0
bud=5.00e+05_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,500000.0,4.0,0.1,0.0,0.0,False,-492933.17536932975,2426194.153664592,1933260.9782952624,428657.38485215564,2524.5822666995227,single level,single level,492933.17536932975,1,0.0,-492933.17536932975,single level,single level,0.0,0.0,-492933.17536932975,single level,0.0,0.0
bud=1.00e+06_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,1000000.0,4.0,0.1,0.0,0.0,False,-249993.9515357404,2011840.351774847,1761846.4002391065,496531.25291944755,2490.815388703719,single level,single level,249993.9515357404,1,0.0,-249993.9515357404,single level,single level,0.0,0.0,-249993.9515357404,single level,0.0,0.0
bud=1.00e+07_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,10000000.0,4.0,0.1,0.0,0.0,False,-405224.55800451105,2984047.9202141543,2578823.3622096432,500361.87742521544,2543.6058640927076,single level,single level,405224.55800451105,1,0.0,-405224.55800451105,single level,single level,0.0,0.0,-405224.55800451105,single level,0.0,0.0
bud=1.00e+07_lam=4_alfa=0.1_mu_al=1.00e-07_mu_bet=1.00e-01_python.mat,10000000.0,4.0,0.1,1e-07,0.1,False,-300618.8231754771,1435264.3405558036,1134645.5173803265,465548.63265992294,1751.6668057739735,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 10^{-1}$ T=3",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 10^{-1}$ | T=3,300618.8231754771,2,25.814263415858782,-405224.55800451105,single level,single level,-104605.73482903396,-25.814263415858782,-405224.55800451105,single level,-104605.73482903396,-25.814263415858782
bud=1.00e+08_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,100000000.0,4.0,0.1,0.0,0.0,False,-405223.89354514424,2984048.616897475,2578824.7233523307,844302.2628982109,2526.753709729761,single level,single level,405223.89354514424,1,0.0,-405223.89354514424,single level,single level,0.0,0.0,-405223.89354514424,single level,0.0,0.0
bud=1.00e+08_lam=4_alfa=0.1_mu_al=1.00e-07_mu_bet=1.00e-01_python.mat,100000000.0,4.0,0.1,1e-07,0.1,False,-300618.8231754771,1435264.3405558036,1134645.5173803265,465548.63265992294,2269.44088508375,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 10^{-1}$ T=3",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 10^{-1}$ | T=3,300618.8231754771,2,25.81414177098951,-405223.89354514424,single level,single level,-104605.07036966714,-25.81414177098951,-405223.89354514424,single level,-104605.07036966714,-25.81414177098951
bud=1.00e+04_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,10000.0,10.0,0.1,0.0,0.0,False,0.0,0.0,0.0,0.0,5442.69865697436,single level,single level,-0.0,1,0.0,0.0,single level,single level,0.0,0.0,0.0,single level,0.0,0.0
bud=1.00e+04_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,10000.0,10.0,0.1,1e-08,0.001,False,0.0,0.0,0.0,0.0,6164.651581533253,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=3",$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=3,-0.0,1,0.0,0.0,single level,single level,0.0,0.0,0.0,single level,0.0,0.0
bud=1.00e+04_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,10000.0,10.0,0.1,1e-07,0.005,False,0.0,0.0,0.0,0.0,6023.937789652497,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,-0.0,1,0.0,0.0,single level,single level,0.0,0.0,0.0,single level,0.0,0.0
bud=1.00e+04_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python_longrun.mat,10000.0,10.0,0.1,1e-08,0.001,True,0.0,0.0,0.0,0.0,7061.307451687753,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=10",$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=10,-0.0,1,0.0,0.0,single level,single level,0.0,0.0,0.0,single level,0.0,0.0
bud=1.00e+04_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,10000.0,10.0,0.1,1e-07,0.005,True,0.0,0.0,0.0,0.0,6251.72574086301,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=10",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=10,-0.0,1,0.0,0.0,single level,single level,0.0,0.0,0.0,single level,0.0,0.0
bud=2.50e+04_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,25000.0,10.0,0.1,0.0,0.0,False,0.0,0.0,0.0,0.0,5439.504512546584,single level,single level,-0.0,1,0.0,0.0,single level,single level,0.0,0.0,0.0,single level,0.0,0.0
bud=2.50e+04_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,25000.0,10.0,0.1,1e-08,0.001,False,0.0,0.0,0.0,0.0,6483.582180524245,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=3",$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=3,-0.0,1,0.0,0.0,single level,single level,0.0,0.0,0.0,single level,0.0,0.0
bud=2.50e+04_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,25000.0,10.0,0.1,1e-07,0.005,False,0.0,0.0,0.0,0.0,6312.694709485397,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=3",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,-0.0,1,0.0,0.0,single level,single level,0.0,0.0,0.0,single level,0.0,0.0
bud=2.50e+04_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python_longrun.mat,25000.0,10.0,0.1,1e-08,0.001,True,0.0,0.0,0.0,0.0,7378.247667329386,"$\mu_\alpha = 10^{-8}$, $\mu_\beta = 10^{-3}$ T=10",$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=10,-0.0,1,0.0,0.0,single level,single level,0.0,0.0,0.0,single level,0.0,0.0
bud=2.50e+04_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,25000.0,10.0,0.1,1e-07,0.005,True,0.0,0.0,0.0,0.0,6562.193059407175,"$\mu_\alpha = 10^{-7}$, $\mu_\beta = 5 \times 10^{-3}$ T=10",$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=10,-0.0,1,0.0,0.0,single level,single level,0.0,0.0,0.0,single level,0.0,0.0
bud=5.00e+04_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,50000.0,10.0,0.1,0.0,0.0,False,0.0,0.0,0.0,0.0,5461.7025185171515,single level,single level,-0.0,1,0.0,0.0,single level,single level,0.0,0.0,0.0,single level,0.0,0.0
