lam,budget,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 10^{-1}$ | T=3,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=10,$\mu_\alpha = 10^{-7}$ | $\mu_\beta = 5 \times 10^{-3}$ | T=3,$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=10,$\mu_\alpha = 10^{-8}$ | $\mu_\beta = 10^{-3}$ | T=3,single level
4.0,100000.0,,,,,,-32195.13189957678
4.0,150000.0,,,,,,-49226.480358387635
4.0,200000.0,,,,,,-54709.27719450282
4.0,300000.0,,,,,,-54686.48557603941
4.0,500000.0,,,,,,-492933.17536932975
4.0,1000000.0,,,,,,-249993.9515357404
4.0,10000000.0,-300618.8231754771,,,,,-405224.55800451105
4.0,100000000.0,-300618.8231754771,,,,,-405223.89354514424
10.0,10000.0,,0.0,0.0,0.0,0.0,0.0
10.0,25000.0,,0.0,0.0,0.0,0.0,0.0
10.0,50000.0,,0.0,0.0,0.0,0.0,0.0
10.0,75000.0,,-19173.231835563725,-19173.231835563725,-24287.793347900646,-24287.793347900646,2937.6134195791365
10.0,100000.0,,-39386.66960681701,-39263.06208210962,-38897.63583822566,-38897.63583822566,-9995.190979300198
10.0,150000.0,,-47492.98441133875,-34893.839815205196,-22325.93242133601,-22325.93242133601,-22309.195818870387
10.0,200000.0,,-63055.41642097919,-61854.350859797385,-17670.557619268424,-17670.557619268424,64332.60842971504
10.0,250000.0,,-65595.85006973532,-65595.85006973532,-17395.914204467088,-17395.914204467088,59850.591426157276
10.0,300000.0,,-70250.86976193741,-56864.815286828554,-15084.012176759075,-15084.012176759075,55413.640859147534
10.0,500000.0,,-72598.38473078841,-59448.592386546195,-17238.58119129308,-17238.58119129308,52554.53801261622
10.0,1000000.0,,-72780.44439059333,-60991.326850843034,,21167.17004076147,52553.541401874274
10.0,5000000.0,,-72582.38953236351,-59427.53572634177,,21882.070041577448,52553.1546637679
